,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CUSTOMERNAME,COUNTRY,DEALSIZE,Total Order Value
620,10342,55,65.45,1,3599.75,2004-11-24,Shipped,4,11,2004,Classic Cars,77,"Australian Collectors, Co.",Australia,Medium,43779.09
621,10363,22,100.0,7,3686.54,2005-01-06,Shipped,1,1,2005,Classic Cars,77,Suominen Souveniers,Finland,Medium,51373.49
622,10377,31,67.76,4,2100.56,2005-02-09,Shipped,1,2,2005,Classic Cars,77,"Toys of Finland, Co.",Finland,Small,26422.82
623,10389,49,79.22,3,3881.78,2005-03-03,Shipped,1,3,2005,Classic Cars,77,Scandinavian Gift Ideas,Sweden,Medium,31606.72
624,10405,61,73.92,4,4509.12,2005-04-14,Shipped,2,4,2005,Classic Cars,77,Mini Caravy,France,Medium,35680.35
625,10419,39,83.93,9,3273.27,2005-05-17,Shipped,2,5,2005,Classic Cars,77,Salzburg Collectables,Austria,Medium,59475.1
626,10109,38,100.0,3,4432.7,2003-03-10,Shipped,1,3,2003,Classic Cars,142,Motor Mint Distributors Inc.,USA,Medium,27398.82
627,10122,31,100.0,1,4100.99,2003-05-08,Shipped,2,5,2003,Classic Cars,142,Marseille Mini Autos,France,Medium,52481.840000000004
628,10136,36,100.0,1,5274.72,2003-07-04,Shipped,3,7,2003,Classic Cars,142,Alpha Cognac,France,Medium,17251.08
629,10148,25,100.0,12,4232.0,2003-09-11,Shipped,3,9,2003,Classic Cars,142,"Anna's Decorations, Ltd",Australia,Medium,47191.76
630,10161,48,100.0,11,6145.44,2003-10-17,Shipped,4,10,2003,Classic Cars,142,Heintze Collectables,Denmark,Medium,40321.61
631,10171,35,100.0,1,4680.2,2003-11-05,Shipped,4,11,2003,Classic Cars,142,Quebec Home Shopping Network,Canada,Medium,15947.289999999999
632,10181,21,100.0,5,3286.08,2003-11-12,Shipped,4,11,2003,Classic Cars,142,Herkku Gifts,Norway,Medium,60795.84
633,10192,47,100.0,10,7421.3,2003-11-20,Shipped,4,11,2003,Classic Cars,142,Online Diecast Creations Co.,USA,Large,63981.45
634,10204,38,100.0,16,6432.64,2003-12-02,Shipped,4,12,2003,Classic Cars,142,Muscle Machine Inc,USA,Medium,64316.090000000004
635,10212,41,100.0,9,4840.87,2004-01-16,Shipped,1,1,2004,Classic Cars,142,Euro Shopping Channel,Spain,Medium,65165.17
636,10226,24,100.0,7,3892.08,2004-02-26,Shipped,1,2,2004,Classic Cars,142,Collectable Mini Designs Co.,USA,Medium,25872.22
637,10240,37,100.0,2,5526.32,2004-04-13,Shipped,2,4,2004,Classic Cars,142,Osaka Souveniers Co.,Japan,Medium,17114.43
638,10253,33,100.0,4,4459.62,2004-06-01,Cancelled,2,6,2004,Classic Cars,142,"UK Collectables, Ltd.",UK,Medium,50408.25
639,10266,49,100.0,5,6203.4,2004-07-06,Shipped,3,7,2004,Classic Cars,142,L'ordine Souveniers,Italy,Medium,56421.65
640,10278,29,100.0,5,3754.05,2004-08-06,Shipped,3,8,2004,Classic Cars,142,Signal Gift Stores,USA,Medium,34453.85
641,10287,24,100.0,3,3516.48,2004-08-30,Shipped,3,8,2004,Classic Cars,142,"Vida Sport, Ltd",Switzerland,Medium,67281.01
642,10301,47,100.0,7,7488.04,2003-10-05,Shipped,4,10,2003,Classic Cars,142,"Norway Gifts By Mail, Co.",Norway,Large,45078.759999999995
643,10310,24,100.0,1,3448.08,2004-10-16,Shipped,4,10,2004,Classic Cars,142,"Toms Spezialitten, Ltd",Germany,Medium,68943.4
644,10321,25,100.0,9,3734.0,2004-11-04,Shipped,4,11,2004,Classic Cars,142,FunGiftIdeas.com,USA,Medium,49504.380000000005
645,10331,30,32.47,8,974.1,2004-11-17,Shipped,4,11,2004,Classic Cars,142,Motor Mint Distributors Inc.,USA,Small,48996.1
646,10342,22,100.0,3,3160.74,2004-11-24,Shipped,4,11,2004,Classic Cars,142,"Australian Collectors, Co.",Australia,Medium,43779.09
647,10356,27,64.69,2,1746.63,2004-12-09,Shipped,4,12,2004,Classic Cars,142,Lyon Souveniers,France,Small,32623.93
648,10366,34,100.0,3,4207.84,2005-01-10,Shipped,1,1,2005,Classic Cars,142,Royale Belge,Belgium,Medium,16628.16
649,10377,36,100.0,6,4352.76,2005-02-09,Shipped,1,2,2005,Classic Cars,142,"Toys of Finland, Co.",Finland,Medium,26422.82
650,10390,34,43.05,15,1463.7,2005-03-04,Shipped,1,3,2005,Classic Cars,142,Mini Gifts Distributors Ltd.,USA,Small,61133.28
651,10406,48,100.0,2,7169.28,2005-04-15,Disputed,2,4,2005,Classic Cars,142,Danish Wholesale Imports,Denmark,Large,26012.87
652,10419,34,100.0,4,4594.76,2005-05-17,Shipped,2,5,2005,Classic Cars,142,Salzburg Collectables,Austria,Medium,59475.1
653,10104,24,100.0,8,3457.92,2003-01-31,Shipped,1,1,2003,Classic Cars,163,Euro Shopping Channel,Spain,Medium,44621.96
654,10115,46,100.0,4,7381.16,2003-04-04,Shipped,2,4,2003,Classic Cars,163,Classic Legends Inc.,USA,Large,24777.41
655,10127,45,100.0,10,7146.9,2003-06-03,Shipped,2,6,2003,Classic Cars,163,Muscle Machine Inc,USA,Large,68462.15
656,10141,39,100.0,4,5938.53,2003-08-01,Shipped,3,8,2003,Classic Cars,163,Suominen Souveniers,Finland,Medium,31569.43
657,10151,43,100.0,2,7110.91,2003-09-21,Shipped,3,9,2003,Classic Cars,163,"Oulu Toy Supplies, Inc.",Finland,Large,37501.58
658,10165,29,100.0,11,5032.95,2003-10-22,Shipped,4,10,2003,Classic Cars,163,"Dragon Souveniers, Ltd.",Singapore,Medium,77809.37
659,10176,20,100.0,10,3667.6,2003-11-06,Shipped,4,11,2003,Classic Cars,163,L'ordine Souveniers,Italy,Medium,44669.74
660,10184,46,100.0,5,7381.16,2003-11-14,Shipped,4,11,2003,Classic Cars,163,"Iberia Gift Imports, Corp.",Spain,Large,51502.740000000005
661,10195,27,100.0,5,5128.11,2003-11-25,Shipped,4,11,2003,Classic Cars,163,Mini Classics,USA,Medium,38682.95
662,10207,44,100.0,6,7060.24,2003-12-09,Shipped,4,12,2003,Classic Cars,163,Diecast Collectables,USA,Large,63730.78
663,10219,43,100.0,1,8448.64,2004-02-10,Shipped,1,2,2004,Classic Cars,163,Signal Collectibles Ltd.,USA,Large,16118.48
664,10230,49,100.0,8,7300.51,2004-03-15,Shipped,1,3,2004,Classic Cars,163,"Blauer See Auto, Co.",Germany,Large,37266.49
665,10246,40,100.0,4,6549.2,2004-05-05,Shipped,2,5,2004,Classic Cars,163,Euro Shopping Channel,Spain,Medium,41317.75
666,10259,30,100.0,3,5697.9,2004-06-15,Shipped,2,6,2004,Classic Cars,163,Handji Gifts& Co,Singapore,Medium,45788.72
667,10271,50,100.0,4,9169.0,2004-07-20,Shipped,3,7,2004,Classic Cars,163,Mini Gifts Distributors Ltd.,USA,Large,41121.58
668,10282,23,100.0,13,3238.63,2004-08-20,Shipped,3,8,2004,Classic Cars,163,Mini Gifts Distributors Ltd.,USA,Medium,52807.15
669,10292,26,100.0,7,4554.94,2004-09-08,Shipped,3,9,2004,Classic Cars,163,Land of Toys Inc.,USA,Medium,39775.74
670,10305,27,100.0,4,3934.44,2004-10-13,Shipped,4,10,2004,Classic Cars,163,Marta's Replicas Co.,USA,Medium,54251.659999999996
671,10314,42,100.0,13,5776.26,2004-10-22,Shipped,4,10,2004,Classic Cars,163,Heintze Collectables,Denmark,Medium,60273.94
672,10324,47,100.0,8,7207.45,2004-11-05,Shipped,4,11,2004,Classic Cars,163,Vitachrome Inc.,USA,Large,56372.87
673,10336,49,100.0,6,7460.74,2004-11-20,Shipped,4,11,2004,Classic Cars,163,"La Corne D'abondance, Co.",France,Large,56812.67
674,10349,38,100.0,8,6719.54,2004-12-01,Shipped,4,12,2004,Classic Cars,163,Muscle Machine Inc,USA,Medium,41706.52
675,10358,20,100.0,10,2428.0,2004-12-10,Shipped,4,12,2004,Classic Cars,163,Euro Shopping Channel,Spain,Small,51435.45
676,10371,25,100.0,7,2602.25,2005-01-23,Shipped,1,1,2005,Classic Cars,163,Mini Gifts Distributors Ltd.,USA,Small,36124.270000000004
677,10382,25,88.0,5,2200.0,2005-02-17,Shipped,1,2,2005,Classic Cars,163,Mini Gifts Distributors Ltd.,USA,Small,55741.020000000004
678,10412,41,100.0,4,6712.93,2005-05-03,Shipped,2,5,2005,Classic Cars,163,Euro Shopping Channel,Spain,Medium,52287.74
679,10425,28,100.0,3,5318.04,2005-05-31,In Process,2,5,2005,Classic Cars,163,La Rochelle Gifts,France,Medium,43784.69
680,10100,50,67.8,2,3390.0,2003-01-06,Shipped,1,1,2003,Vintage Cars,60,Online Diecast Creations Co.,USA,Medium,12133.25
681,10110,32,50.25,6,1608.0,2003-03-18,Shipped,1,3,2003,Vintage Cars,60,"AV Stores, Co.",UK,Small,51017.92
682,10124,42,53.88,5,2262.96,2003-05-21,Shipped,2,5,2003,Vintage Cars,60,Signal Gift Stores,USA,Small,33847.62
683,10149,24,62.36,10,1496.64,2003-09-12,Shipped,3,9,2003,Vintage Cars,60,Signal Collectibles Ltd.,USA,Small,34100.03
684,10162,27,69.62,8,1879.74,2003-10-18,Shipped,4,10,2003,Vintage Cars,60,Corporate Gift Ideas Co.,USA,Small,33180.59
685,10173,26,57.51,12,1495.26,2003-11-05,Shipped,4,11,2003,Vintage Cars,60,Rovelli Gifts,Italy,Small,40077.71
686,10182,38,61.15,9,2323.7,2003-11-12,Shipped,4,11,2003,Vintage Cars,60,Mini Gifts Distributors Ltd.,USA,Small,50360.89
687,10193,42,59.33,13,2491.86,2003-11-21,Shipped,4,11,2003,Vintage Cars,60,"Australian Collectables, Ltd",Australia,Small,37878.55
688,10204,23,71.44,3,1643.12,2003-12-02,Shipped,4,12,2003,Vintage Cars,60,Muscle Machine Inc,USA,Small,64316.090000000004
689,10214,21,62.96,6,1322.16,2004-01-26,Shipped,1,1,2004,Vintage Cars,60,"Corrida Auto Replicas, Ltd",Spain,Small,24995.469999999998
690,10227,28,50.85,9,1423.8,2004-03-02,Shipped,1,3,2004,Vintage Cars,60,"Saveley & Henriot, Co.",France,Small,46802.270000000004
691,10241,33,72.65,1,2397.45,2004-04-13,Shipped,2,4,2004,Vintage Cars,60,Mini Caravy,France,Small,39341.229999999996
692,10280,25,62.96,15,1574.0,2004-08-17,Shipped,3,8,2004,Vintage Cars,60,Amica Models & Co.,Italy,Small,56078.26
693,10288,28,61.75,4,1729.0,2004-09-01,Shipped,3,9,2004,Vintage Cars,60,Handji Gifts& Co,Singapore,Small,42902.84
694,10303,46,49.04,2,2255.84,2004-10-06,Shipped,4,10,2004,Vintage Cars,60,"Iberia Gift Imports, Corp.",Spain,Small,3220.88
695,10312,30,61.15,16,1834.5,2004-10-21,Shipped,4,10,2004,Vintage Cars,60,Mini Gifts Distributors Ltd.,USA,Small,63075.08
696,10332,38,84.25,9,3201.5,2004-11-17,Shipped,4,11,2004,Vintage Cars,60,"AV Stores, Co.",UK,Medium,48962.28
697,10344,40,56.91,2,2276.4,2004-11-25,Shipped,4,11,2004,Vintage Cars,60,Marseille Mini Autos,France,Small,20136.86
698,10367,45,100.0,4,8884.8,2005-01-12,Resolved,1,1,2005,Vintage Cars,60,Toys4GrownUps.com,USA,Large,44273.36
699,10379,27,49.3,1,1331.1,2005-02-10,Shipped,1,2,2005,Vintage Cars,60,Euro Shopping Channel,Spain,Small,18094.97
700,10407,42,72.65,1,3051.3,2005-04-22,On Hold,2,4,2005,Vintage Cars,60,The Sharp Gifts Warehouse,USA,Medium,57883.09
701,10420,36,63.57,4,2288.52,2005-05-29,In Process,2,5,2005,Vintage Cars,60,Souveniers And Things Co.,Australia,Small,43971.43
702,10104,29,100.0,12,3772.61,2003-01-31,Shipped,1,1,2003,Trucks and Buses,122,Euro Shopping Channel,Spain,Medium,44621.96
703,10114,39,100.0,3,4164.42,2003-04-01,Shipped,2,4,2003,Trucks and Buses,122,"La Corne D'abondance, Co.",France,Medium,38217.41
704,10127,45,100.0,14,6295.95,2003-06-03,Shipped,2,6,2003,Trucks and Buses,122,Muscle Machine Inc,USA,Medium,68462.15
705,10141,47,100.0,8,6287.66,2003-08-01,Shipped,3,8,2003,Trucks and Buses,122,Suominen Souveniers,Finland,Medium,31569.43
706,10151,49,100.0,6,5412.54,2003-09-21,Shipped,3,9,2003,Trucks and Buses,122,"Oulu Toy Supplies, Inc.",Finland,Medium,37501.58
707,10165,46,100.0,15,5984.14,2003-10-22,Shipped,4,10,2003,Trucks and Buses,122,"Dragon Souveniers, Ltd.",Singapore,Medium,77809.37
708,10175,48,100.0,4,5891.04,2003-11-06,Shipped,4,11,2003,Trucks and Buses,122,"Stylish Desk Decors, Co.",UK,Medium,42688.31
709,10184,46,100.0,9,5984.14,2003-11-14,Shipped,4,11,2003,Trucks and Buses,122,"Iberia Gift Imports, Corp.",Spain,Medium,51502.740000000005
710,10195,35,100.0,9,3608.15,2003-11-25,Shipped,4,11,2003,Trucks and Buses,122,Mini Classics,USA,Medium,38682.95
711,10207,43,100.0,10,5752.54,2003-12-09,Shipped,4,12,2003,Trucks and Buses,122,Diecast Collectables,USA,Medium,63730.78
712,10229,26,100.0,4,3765.32,2004-03-11,Shipped,1,3,2004,Trucks and Buses,122,Mini Gifts Distributors Ltd.,USA,Medium,48922.77
713,10246,22,98.18,8,2159.96,2004-05-05,Shipped,2,5,2004,Trucks and Buses,122,Euro Shopping Channel,Spain,Small,41317.75
714,10259,34,99.41,7,3379.94,2004-06-15,Shipped,2,6,2004,Trucks and Buses,122,Handji Gifts& Co,Singapore,Medium,45788.72
715,10271,50,100.0,8,5093.5,2004-07-20,Shipped,3,7,2004,Trucks and Buses,122,Mini Gifts Distributors Ltd.,USA,Medium,41121.58
716,10281,48,100.0,4,5773.44,2004-08-19,Shipped,3,8,2004,Trucks and Buses,122,Diecast Classics Inc.,USA,Medium,44781.35
717,10292,41,100.0,11,4528.86,2004-09-08,Shipped,3,9,2004,Trucks and Buses,122,Land of Toys Inc.,USA,Medium,39775.74
718,10305,36,100.0,8,4816.08,2004-10-13,Shipped,4,10,2004,Trucks and Buses,122,Marta's Replicas Co.,USA,Medium,54251.659999999996
719,10313,29,100.0,2,3416.78,2004-10-22,Shipped,4,10,2004,Trucks and Buses,122,Canadian Gift Exchange Network,Canada,Medium,36576.71
720,10324,33,37.48,10,1236.84,2004-11-05,Shipped,4,11,2004,Trucks and Buses,122,Vitachrome Inc.,USA,Small,56372.87
721,10334,46,100.0,6,5814.86,2004-11-19,On Hold,4,11,2004,Trucks and Buses,122,"Volvo Model Replicas, Co",Sweden,Medium,26260.21
722,10349,38,100.0,7,5223.48,2004-12-01,Shipped,4,12,2004,Trucks and Buses,122,Muscle Machine Inc,USA,Medium,41706.52
723,10358,20,36.42,11,728.4,2004-12-10,Shipped,4,12,2004,Trucks and Buses,122,Euro Shopping Channel,Spain,Small,51435.45
724,10370,22,100.0,5,3949.0,2005-01-20,Shipped,1,1,2005,Trucks and Buses,122,"Anna's Decorations, Ltd",Australia,Medium,29852.17
725,10383,27,100.0,11,3843.99,2005-02-22,Shipped,1,2,2005,Trucks and Buses,122,Euro Shopping Channel,Spain,Medium,41249.74
726,10412,56,98.18,8,5498.08,2005-05-03,Shipped,2,5,2005,Trucks and Buses,122,Euro Shopping Channel,Spain,Medium,52287.74
727,10425,38,99.41,7,3777.58,2005-05-31,In Process,2,5,2005,Trucks and Buses,122,La Rochelle Gifts,France,Medium,43784.69
728,10101,25,100.0,4,3782.0,2003-01-09,Shipped,1,1,2003,Vintage Cars,127,"Blauer See Auto, Co.",Germany,Medium,11432.34
729,10110,33,100.0,4,3859.68,2003-03-18,Shipped,1,3,2003,Vintage Cars,127,"AV Stores, Co.",UK,Medium,51017.92
730,10124,42,100.0,3,4431.84,2003-05-21,Shipped,2,5,2003,Vintage Cars,127,Signal Gift Stores,USA,Medium,33847.62
731,10149,33,100.0,8,4950.33,2003-09-12,Shipped,3,9,2003,Vintage Cars,127,Signal Collectibles Ltd.,USA,Medium,34100.03
732,10162,38,100.0,6,4299.7,2003-10-18,Shipped,4,10,2003,Vintage Cars,127,Corporate Gift Ideas Co.,USA,Medium,33180.59
733,10173,31,100.0,10,4492.83,2003-11-05,Shipped,4,11,2003,Vintage Cars,127,Rovelli Gifts,Italy,Medium,40077.71
734,10182,20,100.0,7,2212.0,2003-11-12,Shipped,4,11,2003,Vintage Cars,127,Mini Gifts Distributors Ltd.,USA,Small,50360.89
735,10193,44,100.0,11,4642.88,2003-11-21,Shipped,4,11,2003,Vintage Cars,127,"Australian Collectables, Ltd",Australia,Medium,37878.55
736,10204,26,100.0,1,3206.32,2003-12-02,Shipped,4,12,2003,Vintage Cars,127,Muscle Machine Inc,USA,Medium,64316.090000000004
737,10214,27,100.0,4,3604.23,2004-01-26,Shipped,1,1,2004,Vintage Cars,127,"Corrida Auto Replicas, Ltd",Spain,Medium,24995.469999999998
738,10227,46,100.0,7,7017.76,2004-03-02,Shipped,1,3,2004,Vintage Cars,127,"Saveley & Henriot, Co.",France,Large,46802.270000000004
739,10243,47,100.0,2,6154.18,2004-04-26,Shipped,2,4,2004,Vintage Cars,127,Diecast Collectables,USA,Medium,7129.0
740,10280,37,100.0,13,4750.8,2004-08-17,Shipped,3,8,2004,Vintage Cars,127,Amica Models & Co.,Italy,Medium,56078.26
741,10288,31,100.0,2,3822.92,2004-09-01,Shipped,3,9,2004,Vintage Cars,127,Handji Gifts& Co,Singapore,Medium,42902.84
742,10304,24,100.0,17,2440.8,2004-10-11,Shipped,4,10,2004,Vintage Cars,127,Auto Assoc. & Cie.,France,Small,59074.9
743,10312,31,100.0,14,4729.36,2004-10-21,Shipped,4,10,2004,Vintage Cars,127,Mini Gifts Distributors Ltd.,USA,Medium,63075.08
744,10322,50,100.0,6,12536.5,2004-11-04,Shipped,4,11,2004,Vintage Cars,127,Online Diecast Creations Co.,USA,Large,55570.6
745,10332,35,64.69,8,2264.15,2004-11-17,Shipped,4,11,2004,Vintage Cars,127,"AV Stores, Co.",UK,Small,48962.28
746,10344,30,100.0,3,3928.2,2004-11-25,Shipped,4,11,2004,Vintage Cars,127,Marseille Mini Autos,France,Medium,20136.86
747,10356,29,100.0,3,3630.22,2004-12-09,Shipped,4,12,2004,Vintage Cars,127,Lyon Souveniers,France,Medium,32623.93
748,10367,27,100.0,5,4196.07,2005-01-12,Resolved,1,1,2005,Vintage Cars,127,Toys4GrownUps.com,USA,Medium,44273.36
749,10380,40,100.0,10,4931.6,2005-02-16,Shipped,1,2,2005,Vintage Cars,127,Euro Shopping Channel,Spain,Medium,38360.4
750,10390,31,98.99,16,3068.69,2005-03-04,Shipped,1,3,2005,Vintage Cars,127,Mini Gifts Distributors Ltd.,USA,Medium,61133.28
751,10409,6,100.0,2,785.64,2005-04-23,Shipped,2,4,2005,Vintage Cars,127,Handji Gifts& Co,Singapore,Small,2587.58
752,10420,45,100.0,2,4977.0,2005-05-29,In Process,2,5,2005,Vintage Cars,127,Souveniers And Things Co.,Australia,Medium,43971.43
753,10103,22,54.09,2,1189.98,2003-01-29,Shipped,1,1,2003,Trucks and Buses,60,Baane Mini Imports,Norway,Small,54702.0
754,10114,45,68.67,6,3090.15,2003-04-01,Shipped,2,4,2003,Trucks and Buses,60,"La Corne D'abondance, Co.",France,Medium,38217.41
755,10126,43,65.02,2,2795.86,2003-05-28,Shipped,2,5,2003,Trucks and Buses,60,"Corrida Auto Replicas, Ltd",Spain,Small,61073.21
756,10140,46,61.99,2,2851.54,2003-07-24,Shipped,3,7,2003,Trucks and Buses,60,Technics Stores Inc.,USA,Small,42031.83
757,10151,39,69.28,9,2701.92,2003-09-21,Shipped,3,9,2003,Trucks and Buses,60,"Oulu Toy Supplies, Inc.",Finland,Small,37501.58
758,10165,31,71.1,18,2204.1,2003-10-22,Shipped,4,10,2003,Trucks and Buses,60,"Dragon Souveniers, Ltd.",Singapore,Small,77809.37
759,10175,41,69.28,7,2840.48,2003-11-06,Shipped,4,11,2003,Trucks and Buses,60,"Stylish Desk Decors, Co.",UK,Small,42688.31
760,10184,44,60.16,12,2647.04,2003-11-14,Shipped,4,11,2003,Trucks and Buses,60,"Iberia Gift Imports, Corp.",Spain,Small,51502.740000000005
761,10194,45,70.49,2,3172.05,2003-11-25,Shipped,4,11,2003,Trucks and Buses,60,"Saveley & Henriot, Co.",France,Medium,41535.11
762,10207,37,69.89,13,2585.93,2003-12-09,Shipped,4,12,2003,Trucks and Buses,60,Diecast Collectables,USA,Small,63730.78
763,10217,35,61.38,2,2148.3,2004-02-04,Shipped,1,2,2004,Trucks and Buses,60,Handji Gifts& Co,Singapore,Small,24219.59
764,10229,28,59.55,7,1667.4,2004-03-11,Shipped,1,3,2004,Trucks and Buses,60,Mini Gifts Distributors Ltd.,USA,Small,48922.77
765,10246,30,61.99,11,1859.7,2004-05-05,Shipped,2,5,2004,Trucks and Buses,60,Euro Shopping Channel,Spain,Small,41317.75
766,10259,30,49.22,10,1476.6,2004-06-15,Shipped,2,6,2004,Trucks and Buses,60,Handji Gifts& Co,Singapore,Small,45788.72
767,10271,25,69.28,11,1732.0,2004-07-20,Shipped,3,7,2004,Trucks and Buses,60,Mini Gifts Distributors Ltd.,USA,Small,41121.58
768,10281,29,57.73,7,1674.17,2004-08-19,Shipped,3,8,2004,Trucks and Buses,60,Diecast Classics Inc.,USA,Small,44781.35
769,10291,26,57.73,2,1500.98,2004-09-08,Shipped,3,9,2004,Trucks and Buses,60,Scandinavian Gift Ideas,Sweden,Small,53941.69
770,10305,41,53.48,11,2192.68,2004-10-13,Shipped,4,10,2004,Trucks and Buses,60,Marta's Replicas Co.,USA,Small,54251.659999999996
771,10313,34,52.87,5,1797.58,2004-10-22,Shipped,4,10,2004,Trucks and Buses,60,Canadian Gift Exchange Network,Canada,Small,36576.71
772,10322,35,61.21,11,2142.35,2004-11-04,Shipped,4,11,2004,Trucks and Buses,60,Online Diecast Creations Co.,USA,Small,55570.6
773,10334,34,61.38,1,2086.92,2004-11-19,On Hold,4,11,2004,Trucks and Buses,60,"Volvo Model Replicas, Co",Sweden,Small,26260.21
774,10347,50,100.0,8,6834.5,2004-11-29,Shipped,4,11,2004,Trucks and Buses,60,"Australian Collectors, Co.",Australia,Medium,47442.91
775,10357,41,61.99,7,2541.59,2004-12-10,Shipped,4,12,2004,Trucks and Buses,60,Mini Gifts Distributors Ltd.,USA,Small,42152.11
776,10370,22,96.86,7,2130.92,2005-01-20,Shipped,1,1,2005,Trucks and Buses,60,"Anna's Decorations, Ltd",Australia,Small,29852.17
777,10381,35,48.62,7,1701.7,2005-02-17,Shipped,1,2,2005,Trucks and Buses,60,Corporate Gift Ideas Co.,USA,Small,36495.95
778,10391,44,38.5,5,1694.0,2005-03-09,Shipped,1,3,2005,Trucks and Buses,60,"Anna's Decorations, Ltd",Australia,Small,35160.25
779,10412,47,61.99,11,2913.53,2005-05-03,Shipped,2,5,2005,Trucks and Buses,60,Euro Shopping Channel,Spain,Small,52287.74
780,10425,19,49.22,10,935.18,2005-05-31,In Process,2,5,2005,Trucks and Buses,60,La Rochelle Gifts,France,Small,43784.69
781,10106,34,90.39,2,3073.26,2003-02-17,Shipped,1,2,2003,Planes,84,Rovelli Gifts,Italy,Medium,56181.32
782,10120,29,71.81,8,2082.49,2003-04-29,Shipped,2,4,2003,Planes,84,"Australian Collectors, Co.",Australia,Small,50397.66
783,10133,49,69.27,3,3394.23,2003-06-27,Shipped,2,6,2003,Planes,84,Euro Shopping Channel,Spain,Medium,22167.74
784,10145,30,85.32,14,2559.6,2003-08-25,Shipped,3,8,2003,Planes,84,Toys4GrownUps.com,USA,Small,55776.119999999995
785,10168,21,70.96,9,1490.16,2003-10-28,Shipped,4,10,2003,Planes,84,Technics Stores Inc.,USA,Small,62305.47
786,10210,50,76.88,7,3844.0,2004-01-12,Shipped,1,1,2004,Planes,84,Osaka Souveniers Co.,Japan,Medium,50490.64
787,10223,47,100.0,9,4724.91,2004-02-20,Shipped,1,2,2004,Planes,84,"Australian Collectors, Co.",Australia,Medium,49637.57
788,10235,24,76.03,3,1824.72,2004-04-02,Shipped,2,4,2004,Planes,84,"Royal Canadian Collectables, Ltd.",Canada,Small,31302.5
789,10250,27,98.84,4,2668.68,2004-05-11,Shipped,2,5,2004,Planes,84,The Sharp Gifts Warehouse,USA,Small,48472.24
790,10263,33,86.17,10,2843.61,2004-06-28,Shipped,2,6,2004,Planes,84,Gift Depot Inc.,USA,Small,44130.520000000004
791,10275,35,90.39,9,3163.65,2004-07-23,Shipped,3,7,2004,Planes,84,La Rochelle Gifts,France,Medium,56002.9
792,10284,31,71.81,1,2226.11,2004-08-21,Shipped,3,8,2004,Planes,84,"Norway Gifts By Mail, Co.",Norway,Small,34145.47
793,10297,25,82.79,4,2069.75,2004-09-16,Shipped,3,9,2004,Planes,84,"Clover Collections, Co.",Ireland,Small,18971.96
794,10308,27,82.79,7,2235.33,2004-10-15,Shipped,4,10,2004,Planes,84,Mini Classics,USA,Small,46873.04
795,10318,31,100.0,9,3116.43,2004-11-02,Shipped,4,11,2004,Planes,84,Diecast Classics Inc.,USA,Medium,44040.729999999996
796,10327,45,100.0,8,4781.7,2004-11-10,Resolved,4,11,2004,Planes,84,Danish Wholesale Imports,Denmark,Medium,24078.61
797,10339,27,100.0,2,2810.7,2004-11-23,Shipped,4,11,2004,Planes,84,"Tokyo Collectables, Ltd",Japan,Small,55888.65
798,10353,27,100.0,1,3515.67,2004-12-04,Shipped,4,12,2004,Planes,84,Gift Ideas Corp.,USA,Medium,29343.35
799,10374,42,69.27,2,2909.34,2005-02-02,Shipped,1,2,2005,Planes,84,"Australian Gift Network, Co",Australia,Small,21730.03
800,10386,21,74.77,18,1570.17,2005-03-01,Resolved,1,3,2005,Planes,84,Euro Shopping Channel,Spain,Small,53815.72
801,10398,34,76.88,15,2613.92,2005-03-30,Shipped,1,3,2005,Planes,84,Reims Collectables,France,Small,52029.07
802,10401,42,76.03,3,3193.26,2005-04-03,On Hold,2,4,2005,Planes,84,Tekni Collectables Inc.,USA,Medium,46519.0
803,10416,15,98.84,4,1482.6,2005-05-10,Shipped,2,5,2005,Planes,84,L'ordine Souveniers,Italy,Small,41509.94
804,10107,29,70.87,6,2055.23,2003-02-24,Shipped,1,2,2003,Motorcycles,60,Land of Toys Inc.,USA,Small,25783.76
805,10120,46,58.15,4,2674.9,2003-04-29,Shipped,2,4,2003,Motorcycles,60,"Australian Collectors, Co.",Australia,Small,50397.66
806,10134,30,61.78,6,1853.4,2003-07-01,Shipped,3,7,2003,Motorcycles,60,Lyon Souveniers,France,Small,25624.88
807,10145,30,49.67,10,1490.1,2003-08-25,Shipped,3,8,2003,Motorcycles,60,Toys4GrownUps.com,USA,Small,55776.119999999995
808,10159,42,51.48,18,2162.16,2003-10-10,Shipped,4,10,2003,Motorcycles,60,Corporate Gift Ideas Co.,USA,Small,62498.29
809,10168,46,61.18,5,2814.28,2003-10-28,Shipped,4,10,2003,Motorcycles,60,Technics Stores Inc.,USA,Small,62305.47
810,10180,25,64.2,13,1605.0,2003-11-11,Shipped,4,11,2003,Motorcycles,60,Daedalus Designs Imports,France,Small,48874.28
811,10188,32,65.42,5,2093.44,2003-11-18,Shipped,4,11,2003,Motorcycles,60,Herkku Gifts,Norway,Small,34481.340000000004
812,10201,30,64.81,6,1944.3,2003-12-01,Shipped,4,12,2003,Motorcycles,60,Mini Wheels Co.,USA,Small,25431.88
813,10210,40,49.67,3,1986.8,2004-01-12,Shipped,1,1,2004,Motorcycles,60,Osaka Souveniers Co.,Japan,Small,50490.64
